instance,seed,cost,time_s,feasible,ref_cost,gap_pct
A-n32-k5,0,784,154.204,1,784,0.00
A-n32-k5,1,784,155.967,1,784,0.00
A-n32-k5,2,784,154.800,1,784,0.00
A-n32-k5,3,784,157.412,1,784,0.00
A-n32-k5,4,784,153.673,1,784,0.00
A-n32-k5,5,784,167.012,1,784,0.00
A-n32-k5,6,784,156.729,1,784,0.00
A-n32-k5,7,784,156.725,1,784,0.00
A-n32-k5,8,784,158.714,1,784,0.00
A-n32-k5,9,784,156.143,1,784,0.00
A-n32-k5,10,784,172.552,1,784,0.00
A-n32-k5,11,784,174.265,1,784,0.00
A-n32-k5,12,784,173.944,1,784,0.00
A-n32-k5,13,784,173.813,1,784,0.00
A-n32-k5,14,784,173.730,1,784,0.00
A-n32-k5,15,784,173.860,1,784,0.00
A-n32-k5,16,784,174.570,1,784,0.00
A-n32-k5,17,784,174.280,1,784,0.00
A-n32-k5,18,784,174.620,1,784,0.00
A-n32-k5,19,784,175.839,1,784,0.00
X-n101-k25,0,27831,181.528,1,27591,0.87
X-n101-k25,1,28034,181.381,1,27591,1.61
X-n101-k25,2,27849,181.192,1,27591,0.94
X-n101-k25,3,28030,181.222,1,27591,1.59
X-n101-k25,4,27892,181.297,1,27591,1.09
X-n101-k25,5,28045,181.362,1,27591,1.65
X-n101-k25,6,27900,181.394,1,27591,1.12
X-n101-k25,7,27920,181.228,1,27591,1.19
X-n101-k25,8,27812,181.543,1,27591,0.80
X-n101-k25,9,28083,181.266,1,27591,1.78
X-n101-k25,10,27793,181.254,1,27591,0.73
X-n101-k25,11,28026,181.339,1,27591,1.58
X-n101-k25,12,27799,181.326,1,27591,0.75
X-n101-k25,13,27985,181.600,1,27591,1.43
X-n101-k25,14,28034,181.164,1,27591,1.61
X-n101-k25,15,28002,181.238,1,27591,1.49
X-n101-k25,16,28078,181.488,1,27591,1.77
X-n101-k25,17,28075,181.298,1,27591,1.75
X-n101-k25,18,28053,181.239,1,27591,1.67
X-n101-k25,19,28034,181.350,1,27591,1.61
M-n200-k17,0,1309,187.318,1,1275,2.67
M-n200-k17,1,1305,186.633,1,1275,2.35
M-n200-k17,2,1318,187.152,1,1275,3.37
M-n200-k17,3,1311,186.257,1,1275,2.82
M-n200-k17,4,1313,186.407,1,1275,2.98
M-n200-k17,5,1304,186.261,1,1275,2.27
M-n200-k17,6,1303,186.388,1,1275,2.20
M-n200-k17,7,1313,186.738,1,1275,2.98
M-n200-k17,8,1309,186.230,1,1275,2.67
M-n200-k17,9,1303,187.234,1,1275,2.20
M-n200-k17,10,1318,188.326,1,1275,3.37
M-n200-k17,11,1308,185.569,1,1275,2.59
M-n200-k17,12,1315,186.058,1,1275,3.14
M-n200-k17,13,1313,186.408,1,1275,2.98
M-n200-k17,14,1319,186.229,1,1275,3.45
M-n200-k17,15,1315,186.588,1,1275,3.14
M-n200-k17,16,1318,186.166,1,1275,3.37
M-n200-k17,17,1317,187.433,1,1275,3.29
M-n200-k17,18,1301,185.897,1,1275,2.04
M-n200-k17,19,1304,186.450,1,1275,2.27
